"","term","estimate","std.error","statistic","p.value","p.adjust(summary(StepLINStunting)$coefficients[, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",0.130499035808227,0.0608120903355725,2.14593899154114,0.0321125931550759,0.0578026676791365,0.0111683454420425,0.249829726174411
"Age","Age",0.0188273024065996,0.00526643677013534,3.57496030586839,0.00036664094621494,0.00276395195118941,0.0084930492657814,0.0291615555474178
"Sex","Sex",-0.0891900430506452,0.0259579159657782,-3.43594775359583,0.000614211544708757,0.00276395195118941,-0.140126888266304,-0.0382531978349863
"Vaccine","Vaccine",-0.1254667946141,0.0402026013575217,-3.12086259041609,0.00185376694176119,0.00556130082528358,-0.204355781130377,-0.0465778080978238
"BCGScar","BCGScar",0.0534983724166996,0.0369632473499791,1.44733962116913,0.148108188031961,0.148108188031961,-0.0190340763136293,0.126030821147029
"CookElectric","CookElectric",-0.0616798646588415,0.0266135676102436,-2.3176097831807,0.0206671240481682,0.0465010291083785,-0.113903285667933,-0.00945644364975019
"HousePet","HousePet",0.054575449497801,0.0265721485230649,2.05385911682787,0.040243055528614,0.060364583292921,0.0024333045678594,0.106717594427743
"DontUseTP","DontUseTP",0.065663500696575,0.0388135738395515,1.69176641573941,0.0909950661690379,0.116993656503049,-0.0104998170958944,0.141826818489044
"SchoolLatClean","SchoolLatClean",-0.240685989396173,0.156180600690732,-1.54107480911011,0.123607830699251,0.139058809536657,-0.547156936199469,0.0657849574071227
