"","term","estimate","std.error","statistic","p.value","p.adjust(summary(StepWasting)$coefficients[, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",6.11467330745517e-11,1589.70763221828,-0.0147937546523496,0.9881967221029,0.991978794781025,3.71616868353296e-255,17064438576156448
"Age","Age",1.8907140713979,0.153172500385448,4.15841336838414,3.20465723046246e-05,0.000352512295350871,1.41659781339962,2.58899910923258
"Sex","Sex",0.630990506645605,0.309200934279002,-1.48920785948938,0.136432641815429,0.250126509994954,0.340260976111638,1.15013171642428
"Chicken","Chicken",0.504004546989557,0.380612712042183,-1.8001763143183,0.071832802556593,0.223712457370085,0.227045057126363,1.02357219657224
"HousePet","HousePet",1.59644218309005,0.306035501678263,1.52850736324094,0.126386616770779,0.250126509994954,0.87037565525993,2.90517578226116
"DefecateField","DefecateField",0.4540503623701,0.45300608506582,-1.74290629373724,0.0813499844982126,0.223712457370085,0.17121049267853,1.03670726861349
"DontUseSchoolLat","DontUseSchoolLat",0.532575215368201,0.46428721871746,-1.35698575462829,0.174785736911264,0.274663300860557,0.194300160577121,1.23501024316907
"NeverWashFruit","NeverWashFruit",1.35215583444006e-07,1377.68888527605,-0.0114803825354596,0.990840181232726,0.991978794781025,8.1474731532382e-207,2072204612315760384
"washHandsLatWater","washHandsLatWater",10423584.7282519,1589.70702864035,0.0101651318562593,0.991889537909153,0.991978794781025,8.59485581795333e-33,NA
"washHandsLatWaterSoap","washHandsLatWaterSoap",8725293.7558731,1589.70701057496,0.0100532592405192,0.991978794781025,0.991978794781025,2.88571862286025e-41,NA
"SchoolLatClean","SchoolLatClean",17.3847982098313,1.58936944110423,1.79668495215702,0.0723856492047014,0.223712457370085,0.547122292920555,562.178635564486
