"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.40829478867793e-10,6346.27001423036,-0.00348975570528497,0.997215583453401
"2","Age",1.95785062412818,0.168030528533098,3.9983642081997,6.37817557908022e-05
"3","Sex",0.586768670279165,0.353543771498196,-1.50794517657155,0.131568558948806
"4","FamilySize",1.0017873716918,0.0938937031414855,0.0190191267794116,0.984825847205528
"5","Vaccine",0.848291274736311,0.629636627029783,-0.261311383019085,0.793852389074606
"6","BCGScar",1.78595393857173,0.572327708226627,1.01332275811938,0.310906020533933
"7","FeverLast2Weeks",0.75846693790261,0.526184270368681,-0.525397822591875,0.599306666872479
"8","DiarrheaLast2Weeks",0.524539820341132,0.518875850539559,-1.24352276711765,0.213675256614856
"9","CoughLast2Weeks",2.71856729239878,0.484186314545894,2.06553754361846,0.0388721670251995
"10","NailsTrimmed",0.37896313636817,0.562395477588105,-1.72532743028262,0.0844684812799894
"11","NailsDirty",0.305081063777966,0.605552005953941,-1.96048851814135,0.0499387187029616
"12","SchoolLatDoors",1.13773162678923,0.352860152676772,0.365687307227314,0.714598418462445
"13","SchoolLatFlies",6615732.58848912,3249.58393376472,0.00483291443337605,0.9961439072011
"14","SchoolLatVisibleStool",1.58605576041215e-08,3249.58438029812,-0.00552668537316794,0.99559036551651
"15","Suburban",1.13940987191699,0.471266158021573,0.276935803561421,0.781829400066582
"16","Rural",2.38459140793257e-14,4511.51324974712,-0.00695269231702683,0.994452598837765
"17","KitchenSeparate",0.813905188423441,0.625488175454542,-0.329201100807561,0.742003690944294
"18","CookElectric",0.805681862718527,0.380629721701977,-0.567654897509595,0.570269322709203
"19","Radio",1.33253832770992,0.343312250645049,0.836223117190193,0.403029395680477
"20","TV",1.47268763197882,0.503229582119893,0.769209653553111,0.441768860542686
"21","NoPhone",0.662041085380918,1.21796564618869,-0.33862011112758,0.734895930282553
"22","Cattle",0.921388417228247,0.936577860561038,-0.0874178227425186,0.930339403109778
"23","`Sheep/Goat`",0.543124659189069,1.24872470722761,-0.488831851351685,0.624960746149633
"24","Chicken",0.554787326135462,0.429961826692301,-1.37028544919655,0.170597813418549
"25","HousePet",1.56339067571119,0.334953294867798,1.33408740718064,0.182175212364968
"26","NoWaterInHouse",0.926792421822681,0.382406586792976,-0.198808456223563,0.84241258092537
"27","TapWater",0.735569568048033,0.575480433402675,-0.533658730213518,0.593577667038125
"28","WaterTreated",0.994002629138515,0.519406449344855,-0.0115813489187173,0.990759627069853
"29","NoFamLat",9.86763023573218e-08,2737.24165032747,-0.00589331271322063,0.995297843992689
"30","LatInside",3.60330235051738e-08,4752.76831318969,-0.00360607310729195,0.997122776178356
"31","RiverBathing",0.887890370169614,0.531775839706488,-0.223603615939458,0.823065749795334
"32","RiverLaundry",1.51271098003417,0.511565804244316,0.809091203306684,0.418462687771564
"33","DefecateField",0.338254259557602,0.525274131747404,-2.0636032760217,0.0390553467361894
"34","DontUseSchoolLat",0.745046269857701,0.507588293324359,-0.579818248785999,0.56203718998511
"35","DontUseTP",0.885746728415341,0.64113101794359,-0.18923468904718,0.849908880877634
"36","EatSoil",2.17594899253936,0.787901862715425,0.986753458242754,0.323763516043869
"37","NeverWashFruit",7.94537268373502e-08,2172.4750677656,-0.00752509949581093,0.993995895959696
"38","EatRawVeg",0.718567852955235,0.357182470545956,-0.925283764507014,0.354818321663042
"39","WalkBarefoot",1.13995650473842,0.375954254131241,0.348420337051359,0.727524531484278
"40","DewormPill",1.14404430074028,0.36229124967471,0.371440427424026,0.710309519087866
"41","Antibiotics",1.84889287079776,0.547751512615059,1.12201791793701,0.261854821560173
"42","TakesMeds",0.596597600805871,0.971079035464051,-0.531895355055028,0.594798474559172
"43","AntiMalaria3Months",3.24155250016269e-08,4479.31178979651,-0.00384983880815726,0.996928280641185
"44","Wheezing",10005843.9543267,13391.8882833001,0.00120361516872857,0.999039654271597
"45","DocConfirmedAsthma",6.33859081184936e-08,6062.45152116866,-0.00273388153484783,0.997818680849517
"46","Rash",0.454311580003777,0.635997594882374,-1.24052673015968,0.214780633681491
"47","HayFever",7.26255693712392e-08,10754.0130276845,-0.00152854090278753,0.998780401288029
"48","momFinishedPrimary",0.65625963274654,0.44364196481183,-0.949411507749866,0.342411359774093
"49","momFinishedSecondary",0.635833943821203,0.465693022771604,-0.972352649088284,0.330875139851531
"50","momFinishedTertiary",1.37280782533701e-08,1871.49408853391,-0.00967345967313451,0.992281816250009
"51","houseDustFloor",0.733007101271151,0.522625656359438,-0.594306623503405,0.552307049371721
"52","washHandsLatWater",14391831.0189167,2867.43733001251,0.0057480493612571,0.995413745414964
"53","washHandsLatWaterSoap",11542707.6908346,2867.43732607878,0.00567111416137337,0.995475129822565
"54","washHandsWaterB4Eat",3.26842140543924,6964.00263566496,0.000170061267876628,0.999864310740625
"55","washHandsSoapB4Eat",3.36189852943318,6964.00262429865,0.000174110481907644,0.999861079935314
